flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
NFNS Chocolate Swirl,3 Gallon,Vanilla flavored ice cream with a Chocolate swirl,"NONFAT MILK,  STABILIZER [POLYDEXTROSE,  MALTODEXTRIN, SORBITOL, GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], NO SUGAR  ADDED CHOCOLATE RIPPLE  [MALTITOL SYRUP, WATER,  GLYCERIN, COCOA, COCOA  PROCESSED WITH ALKALI,  NONFAT DRY MILK, MODIFIED  CORN STARCH, SALT, GUAR GUM,  CITRIC ACID, NATURAL FLAVORS],  MALTODEXTRIN, WHEY, CREAM,  ARTIFICIAL FLAVOR, CARAMEL  COLOR, SUCRALOSE. ",MILK,72,2/3 cup (92g),110,,0.5g,,1%,,0g,,0%,,0g,,,,5mg,,0%,,140mg,,0%,,27g,,0%,,5g,,0%,,8g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,x,,,,,,x,,,,,,,x
NFNS Strawberry Swirl,3 Gallon,Vanilla flavored ice cream with a Strawberry swirl,"NONFAT MILK,  STABILIZER [POLYDEXTROSE,  MALTODEXTRIN, SORBITOL, GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN],  STRAWBERRY SWIRL [MALTITOL  SYRUP, STRAWBERRY PUREE,
WATER, MODIFIED CORN STARCH,  NATURALFLAVORS,CELLULOSE  GUM, ASPARTAME*, CITRIC ACID,  RED 40 (COLOR)], MALTODEXTRIN,  WHEY, CREAM, ARTIFICIAL  VANILLA FLAVOR [ARTIFICIAL  FLAVORS, CARAMEL COLOR],  SUCRALOSE. ",Milk,72,2/3 cup (94g),110,,0g,,0%,,0g,,0%,,0g,,,,5mg,,0%,,130mg,,0%,,27g,,0%,,4g,,0%,,8g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,x,,,,,,,,,x,,,,x
Churned Vanilla,3 Gallon,Creamy Vanilla flavored Reduced Fat ice cream,"BUTTERMILK,  NONFAT MILK, SUGAR, CREAM,  CORN SYRUP, CORN SYRUP  SOLIDS, WHEY, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE
80, CARRAGEENAN], VANILLA  FLAVOR [HIGH FRUCTOSE CORN
SYRUP, NATURAL &ARTIFICIAL
FLAVORS, CARAMEL COLOR],  ANNATTO EXTRACT (COLOR).  ",Milk,72,2/3 cup (89g),160,,5g,,6%,,3.5g,,18%,,0g,,,,20mg,,0%,,75mg,,0%,,24g,,0%,,0g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,x,,,,,,,,,,,,,,x
Amaretto Mackinac Island Fudge,3 Gallon,Amaretto flavored ice cream with a thick Fudge Ribbon and Old Fashion Fudge pieces,"FUDGE SWIRL [S: NONFAT MILK,  CREAM, BUTTERMILK, SUGARUGAR, PEANUT  OIL (REFINED), COCOA  PROCESSED WITH ALKALI, WHEY,  SALT, SOY LECITHIN  (EMULSIFIER)], FUDGE PIECE  [SUGAR, COCONUT OIL  (REFINED), COCOA PROCESSED  WITH ALKALI, PEANUT OIL  (REFINED), COCOA POWDER,  NATURAL FLAVOR, SOY LECITHIN  (EMULSIFIER)], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], FLAVOR  [NATURAL AND ARTIFICIAL  FLAVORS, CARAMEL COLOR,  YELLOW 6 AND YELLOW 5  (COLOR)], COLOR [RED40, BLUE  1], SEA SALT.","Milk, Soy",72,2/3 (95g),240,,14g,,18%,,8g,,40%,,0g,,,,25mg,,0%,,85mg,,0%,,26g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,x,,,
After Dinner Mint,3 Gallon,Chocolate & Mint Flakes in White Mint ice cream,"NONFAT MILK;  CREAM, BUTTERMILK, SUGAR,  MINT FLAKE [SUGAR, COCONUT  OIL, BUTTERMILK POWDER,  COCOA PROCESSED WITH  ALKALI, PARTIALLY  HYDROGENATED COCONUT OIL,  COCOA POWDER, NATURAL  FLAVOR, SALT, SOY LECITHIN  (EMULSIFIER), YELLOW 5 AND  BLUE 1 (COLOR)], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], NATURAL  FLAVOR, SEA SALT.",Milk,72,2/3 cup (91g),210,,12g,,15%,,8g,,40%,,0g,,,,25mg,,0%,,160mg,,0%,,24g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,,x,,
Banana ,3 Gallon,Banana flavored ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BANANA PUREE [CORN SYRUP,  BANANA PUREE, WATER, HIGH  FRUCTOSE CORN SYRUP, SUGAR,  NATURAL FLAVORS, CELLULOSE  GUM, CITRIC ACID], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ",Milk,72,2/3 cup (88g),180,,9g,,12%,,6g,,30%,,0g,,,,25mg,,0%,,60mg,,0%,,23g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,
Big Muddy,3 Gallon,Dark Chocolate ice cream swirled with a Caramel swirl and Brownie Pieces,"NONFAT MILK,  CREAM, SUGAR, BROWNIE PIECE  [SUGAR, WHEAT FLOUR,  INTERESTERIFIED SOYBEAN OIL,  LIQUID PASTEURIZED EGGS,  COCOA PROCESSED WITH  ALKALI, RICE SYRUP, WATER,  CORN STARCH, SOY LECITHIN,  SALT, NATURAL FLAVOR, BAKING  SODA, BAKING POWDER (SODIUM  ACID PYROPHOSPHATE, SODIUM  BICARBONATE, CORN STARCH,  MONOCALCIUM PHOSPHATE)],  CARAMEL SWIRL [CORN SYRUP,  WATER, SWEETENED  CONDENSED MILK (CONDENSED  MILK, SUGAR), SUGAR,  SWEETENED CONDENSED SKIM  MILK (CONDENSED SKIM MILK,  SUGAR), MODIFIED CORN
STARCH, SODIUM ALGINATE, SALT,  SODIUM BICARBONATE], CORN
SYRUP, WHEY, COCOA  PROCESSED WITH ALKALI,
STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,
POLYSORBATE 80,  CARRAGEENAN]. ","MILK,
WHEAT, SOY, EGGS.",72,2/3 cup (103g),250,,11g,,14%,,7g,,35%,,0g,,,,30mg,,0%,,90mg,,0%,,36g,,0%,,1g,,0%,,26g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,x,x,,,,,,,
Birthday Cake,3 Gallon,Yellow cake flavored ice cream blended with cake pieces and sprinkled with multi-colored candy pieces,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CAKE PIECES [SUGAR, WHEAT  FLOUR, WATER, PALM OIL,  SPRINKLES (SUGAR, CORN  STARCH, PALM OIL, PALM KERNEL  OIL, SUNFLOWER LECITHIN,  DEXTRIN, CONFECTIONER'S  GLAZE, COLORS {YELLOW 5 LAKE,  RED 40 LAKE, YELLOW 6 LAKE,
BLUE 1 LAKE, RED 3}, NATURAL  AND ARTIFICIAL FLAVOR,  CARNAUBA Wlv<., BLUE 1
{COLOR}), EGG WHITES, CORNN  STARCH,NATURALAND  ARTIFICIAL VANILLA, SALT, SOY  LECITHIN {EMULSIFIER}, NATURAL
FLAVOR], CORN SYRUP, SEQUINS  [SUGAR, RICE FLOUR, VEGETABLE  OIL (PALM KERNEL AND/OR PALM  OIL), CORN STARCH, GUM ARABIC,  CELLULOSE GUM,  CONFECTIONER'S GLAZE,  CARRAGEENAN, SOY LECITHIN  (EMULSIFIER), COLORS (YELLOW  6, RED 40, YELLOW 5, BLUE 1,  BLUE 2 LAKE), ARTIFICIAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], NATURAL AND  ARTIFICIAL FLAVOR, SEA SALT.  ","Egg, Milk, Soy,
Wheat.",72,2/3 cup (92g),200,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,70mg,,0%,,25g,,0%,,0g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,
Black Cherry,3 Gallon,Black Cherry flavored ice cream with Black Cherries,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  BLACK CHERRIES [CHERRIES,  WATER, CORN SYRUP, SUGAR,  LOCUST BEAN GUM,  CARRAGEENAN, CITRIC ACID,  ARTIFICIALAND NATURAL  FLAVORS, RED 40, BLUE 1], CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], FLAVOR AND  COLORING [WATER, ARTIFICIAL  FLAVOR, RED 40, BLUE 1, CITRIC  ACID], CITRICACID, SEA SALT.  ",Milk,72,2/3 cup (92g),180,,9g,,12%,,6g,,30%,,0g,,,,125mg,,0%,,65mg,,0%,,23g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,x,,,,,
Black Walnut,3 Gallon,Black Walnut flavored ice cream with Black Walnuts,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, BLACK WALNUTS,  WHEY, STABILIZER [MONO AND  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], FLAVOR [CORN  SYRUP, CARAMEL COLOR, NATURAL  AND ARTIFICIAL FLAVOR), CARAMEL  COLOR, SEA SALT.","MILK,  TREE NUTS (WALNUTS).",72,2/3 cup (87g),190,,12g,,15%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,19g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,
Blueberry Wafflecone,3 Gallon,Chocolate covered Waffle Cone pieces blended in Blueberry ice cream with a Blueberryberry Swirl,"NONFAT MILK, CREAM,  BUTTERMILK, SUGAR, BLUEBERRY  SWRIL [BLUEBERRIES, SUGAR,  WATER, MODIFIED CORN STARCH,  NATURAL FLAVOR], CONE PIECES  [SUGAR, DRUMSTICK BISQUE  (BLEACHED WHEAT FLOUR, SUGAR,  CONTAINS 2% OR LESS OF  VEGETABLE SHORTENING {SOYBEAN  OIL, PALM OIL, SOY LECITHIN}, SALT,  CARAMEL COLOR, ARTIFICIAL  FLAVOR), COCONUT OIL, CHOCOLATE  LIQUOR, BUTTERMILK POWDER, SKIM  MILK POWDER, SALT, NATURAL  FLAVOR], WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM, LOCUST  BEAN GUM, CARRAGEENAN], FRUIT  FLAVORS [WATER, CONCENTRATED  FRUIT JUICE (BLUEBERRY, APPLE  AND ELDERBERRY), SUGAR,
NATURAL FLAVOR, CITRIC ACID], SEA  SALT.","Milk, Soy,
Wheat.",72,2/3 cup (95g),210,,11g,,14%,,8g,,40%,,0g,,,,25mg,,0%,,75mg,,0%,,26g,,0%,,0g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,
Blue Moon,3 Gallon,Blue ice cream with an almond flavor,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, WHEY, NATURAL  AND ARTIFICIAL FLAVORS, BLUE 1  (COLOR), STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ",Milk,72,2/3 cup (87g),180,,10g,,13%,,7g,,35%,,0g,,,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,
Bubble Gum,3 Gallon,Pieces of Bubble Gum in Pink Bubble Gum flavored ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  MINI GUM PIECES [SUGAR,  DEXTROSE, GUM BASE, CORN  SYRUP, MALTODEXTRIN, NATURAL  AND ARTIFICIAL FLAVORS,  RESINOUS GLAZE, SOY LECITHIN,  BLUE 1, RED 3AND 40, YELLOW 5  AND 6 (COLOR), BEESWAX AND  CARNAUBA WAX, BHT (TO  MAINTAIN FRESHNESS)], CORN  SYRUP, WHEY, STABILIZER [MONO  & DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], NATURALAND  ARTIFICIAL FLAVOR, RED 40  (COLOR), BLUE 1 (COLOR), SEA  SALT.","Milk, Soy",72,2/3 cup (90g),190,,9g,,12%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,24g,,0%,,0g,,0%,,20g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,
Butter Brittle,3 Gallon,Toffee Candy pieces in Vanilla ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, BUTTER TOFFEE  [SUGAR, CORN SYRUP, COCONUT  OIL, BUTTER (CREAM, SALT),  WATER, BROWN SUGAR,  ALMONDS, SALT, SUNFLOWER  LECITHIN (EMULSIFIER), NATURAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  ANNATTO EXTRACT (COLOR), SEA  SALT.","Milk, Tree Nuts.",72,2/3 cup (89g),190,,10g,,13%,,7g,,35%,,0g,,,,25mg,,0%,,85mg,,0%,,22g,,0%,,0g,,0%,,18g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,x
Butter Pecan,3 Gallon,Butter Pecan flavored ice cream blended with pecans,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, PECANS [PECANS,  COTTONSEED OIL, BUTTER  (CREAM, NATURAL FLAVORING),  SALT], WHEY, BUTTER PECAN  FLAVOR [NATURAL FLAVOR,  WATER, SALT, SOY SAUCE,  SUGAR], STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  ANNATTO EXTRACT (COLOR), SEA  SALT. ","Milk, Pecan, Soy",72,2/3 cup (88g),210,,14g,,18%,,7g,,35%,,0g,,,,25mg,,0%,,110mg,,0%,,19g,,0%,,1g,,0%,,16g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,
Caramel Collision,3 Gallon,Caramel ice cream with a caramel swirl and Chocolate coated Caramel mini cups,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  DULCE DE LECHE SWIRL [SUGAR,  CONDENSED SKIM MILK, HIGH  FRUCTOSE CORN SY.RUP, WATER,  BUTTER (CREAM, SALT),  COCONUT OIL, CORN SYRUP,  SALT, NATURAL AND ARTIFICIAL  FLAVORING, PECTIN], CORN  SYRUP, MILK CHOCOLATE  CARAMEL CUPS [SUGAR,  COCONUT OIL, CORN SYRUP,  SWEETENED CONDENSED  WHOLE MILK (MILK, SUGAR),  NONFAT MILK, MILK, COCOA  PROCESSED WITH ALKALI, HEAW  CREAM, BUTTER (CREAM, SALT),  PALM KERNEL OIL, SOY LECITHIN  (EMULSIFIER), NATURALAND  ARTIFICIAL FLAVORS, SALT),  CARAMEL BASE [CORN SYRUP,  SUGAR,WATER,BUTTER(CREAM,  SALT), CONDENSED SKIM MILK,  CARAMELCOLOR,ANNATTO  COLOR, NATURAL AND ARTIFICIAL  FLAVORING, CARRAGEENAN],  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN), SEA SALT.  ","Milk, Soy",72,2/3 cup (96g),230,,12g,,15%,,8g,,40%,,0g,,,,30mg,,0%,,105mg,,0%,,29g,,0%,,0g,,0%,,23g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,x,x,,,,,,,
Candy Bar,3 Gallon,"Candy Bar nouget flavored ice cream with fudge covered peanuts, a Caramel ribbon and Snicker Bar pieces","NONFAT MILK, BUTTERMILK,  CREAM, SUGAR, PEANUT NOUGAT BASE  [WATER, PEANUT BUTTER (PEANUTS,  SUGAR, PEANUT OIL, SALT), CORN SYRUP,  SUGAR, HIGH FRUCTOSE CORN SYRUP,  MODIFIED TAPIOCA STARCH, COCOA, SALT,  DRY MALT EXTRACT, MONO AND  DIGLYCERIDES, NATURAL FLAVOR], DULCE  DE LECHE SWIRL [SUGAR, CONDENSED  SKIM MILK, HIGH FRUCTOSE CORN SYRUP,  WATER, BUTTER (CREAM, SALT), COCONUT  OIL, CORN SYRUP, SALT, NATURAL AND  ARTIFICIAL FLAVORING, PECTIN],  SNICKERS CANDY BAR [MILK CHOCOLATE  (SUGAR, COCOA BUTTER, CHOCOLATE,  SKIM MILK, LACTOSE, MILK FAT, SOY  LECITHIN, ARTIFICIAL FLAVOR), PEANUTS,  CORN SYRUP, SUGAR, PALM OIL, SKIM  MILK, LACTOSE, SALT, EGG WHITES,  ARTIFICIAL FLAVOR], CORN SYRUP,  CHOCOLATE FUDGE PEANUTS  [CONFECTIONERY COATING (SUGAR,  COCONUT OIL, ALKALIZED COCOA,  NATURAL COCOA, MILKFAT, SOY LECITHIN
{EMULSIFIER}, NATURAL FLAVORS),  PEANUTS (OIL ROASTED PENUTS, SALT,  PEANUT OIL), SALT], WHEY, STABILIZER  [GUAR GUM, MONO & DIGLYCERIDE$,  XANTHAN GUM, POLYSORBATE 80,  CARRAGEENAN], SEA SALT",,72,2/3 cup (98g),240,,12g,,15%,,7g,,35%,,0g,,,,25mg,,0%,,170mg,,0%,,31g,,0%,,1g,,0%,,24g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,x,x,,,,x,,,
Chocolate  ,3 Gallon,Chocolate ice cream,"NONFAT MILK'  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, COCOA PROCESSED WITH ALKALI' WHEY STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM POLYSORBATE 80,  CARRAGEENAN], SEA SALT.  ",Milk,72,2/3 cup (88g),180,,10g,,13%,,6g,,30%,,0g,,,,25mg,,0%,,65mg,,0%,,21g,,0%,,1g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,
Chocolate Chip,3 Gallon,Chocolate Chips in Vanilla ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR, DARK  CHOCOLATE FLAVORED CHUNKS  [SUGAR, COCONUT OIL, COCOA  PROCESSED WITH ALKALI, COCOA  POWDER, MILKFAT, SOY LECITHIN  (EMULSIFIER), VANILLA EXTRACT,  NATURAL FLAVOR], CORN SYRUP,  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM, LOCUST  BEAN GUM, CARRAGEENAN],  VANILLA EXTRACT, ARTIFICIAL  FLAVOR, SEA SALT.","Milk, Soy",72,2/3 cup (90g),200,,11g,,14%,,89g,,40%,,0g,,,,25mg,,0%,,65mg,,0%,,23g,,0%,,1g,,0%,,19g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,x
Chocolate Chip Cookie Dough,3 Gallon,Cookie dough pieces and Chocolate Chips blended in Cookie Dough flavored ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CHOCOLATE CHIP COOKIE  DOUGH [WHEAT FLOUR, SUGAR,  BROWN SUGAR, BUTTER, WATER,  SOYBEAN OIL, CHOCOLATE CHIPS  (SUGAR, CHOCOLATE LIQUOR,  COCOA BUTTER, SOY LECITHIN
{EMULSIFIER}, VANILLA EXTRACT),),  CORN STARCH, MOLASSES, SALT,  NATURAL FLAVOR, SOY LECITHIN,  BAKING SODA], CORN SYRUP,  WHEY, DARK CHOCOLATE  FLAVORED CHUNK [SUGAR,  COCONUT OIL, COCOA  PROCESSED WITH ALKALI,
COCOA POWDER, MILKFAT, SOY  LECITHIN (EMULSIFIER), VANILLA  EXTRACT, NATURAL FLAVOR],  COOKIE DOUGH FLAVOR [SUGAR,  HIGH FRUCTOSE CORN SYRUP,  WATER, CORN SYRUP, SALT,  NATURAL FLAVOR, MOLASSES,  CARAMEL COLOR], STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], ANNATTO  EXTRACT (COLOR), SEA SALT.  ","Milk, Wheat, Soy",72,2/3 cup (94g),210,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,90mg,,0%,,27g,,0%,,0g,,0%,,21g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,x,,,,,,,
Chocolate Peanut Butter Ecstacy,3 Gallon,Chocolate ice cream with Peanut Butter and Thick Fudge swirls and Peanut Butter Cups,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  FUDGE FLAVORED SWIRL  [SUGAR, PEANUT OIL, COCOA  PROCESSED WITH ALKALI, WHEY  POWDER, SALT, SOY LECITHIN  (EMULSIFIER)], PEANUT BUTTER  SWIRL [PEANUTS, SUGAR,  PEANUT OIL, SALT], PEANUT  BUTTER CUPS [MILK CHOCOLATE  (SUGAR, COCOA BUTTER,  CHOCOLATE LIQUOR, MILK, SOY  LECITHIN {EMULSIFIER}, VANILLA  EXTRACT), PEANUT BUTTER,  SUGAR, PALM KERNEL OIL,  LACTOSE, SALT, SOY LECITHIN  (EMULSIFIER)], CORN SYRUP,  COCOA PROCESSED WITH  ALKALI, WHEY, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], SEA SALT.  ","Milk, Soy, Peanuts",72,2/3 cup (98g),290,,18g,,23%,,89g,,40%,,0g,,,,20mg,,0%,,150mg,,0%,,29g,,0%,,2g,,0%,,23g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,,,
Chocolate Peanut Butter Swirl,3 Gallon,Chocolate ice cream with a Peanut Butter swirl,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  PEANUT BUTTER SWIRL  [PEANUTS, COTTONSEED AND/OR  PEANUT OIL, HIGH FRUCTOSE  CORN SYRUP, SALT], CORN  SYRUP, COCOA PROCESSED WITH  ALKALI, WHEY, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE
80, CARRAGEENAN], SEA SALT.  ","Milk, Peanuts",72,2/3 cup (94g),250,,15g,,19%,,7g,,35%,,0g,,,,25mg,,0%,,140mg,,0%,,22g,,0%,,2g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,3mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,
Coconut,3 Gallon,Coconut flavored ice cream with Coconut shreds,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, SHREDDED  COCONUT [DESICCATED  COCONUT, SUGAR, WATER, SALT],  WHEY, STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], ARTIFICIAL  FLAVOR, SEA SALT.","Milk, Treenut (Coconut)",72,2/3 cup (89g),190,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,70mg,,0%,,22g,,0%,,1g,,0%,,17g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,
